idx	op_type	name	inputs	outputs
27	LayerNormalization	/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.0/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.0.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.0.norm.norm.bias']	['/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']
28	Transpose	/text_encoder/convnext/convnext.0/norm/Transpose_1	['/text_encoder/convnext/convnext.0/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.0/norm/Transpose_1_output_0']
29	Conv	/text_encoder/convnext/convnext.0/pwconv1/Conv	['/text_encoder/convnext/convnext.0/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.0.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.0.pwconv1.bias']	['/text_encoder/convnext/convnext.0/pwconv1/Conv_output_0']
30	Div	/text_encoder/convnext/convnext.0/act/Div	['/text_encoder/convnext/convnext.0/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.0/act/Div_output_0']
31	Erf	/text_encoder/convnext/convnext.0/act/Erf	['/text_encoder/convnext/convnext.0/act/Div_output_0']	['/text_encoder/convnext/convnext.0/act/Erf_output_0']
32	Add	/text_encoder/convnext/convnext.0/act/Add	['/text_encoder/convnext/convnext.0/act/Erf_output_0', '/text_encoder/convnext/convnext.0/act/Constant_1_output_0']	['/text_encoder/convnext/convnext.0/act/Add_output_0']
33	Mul	/text_encoder/convnext/convnext.0/act/Mul	['/text_encoder/convnext/convnext.0/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Add_output_0']	['/text_encoder/convnext/convnext.0/act/Mul_output_0']
34	Mul	/text_encoder/convnext/convnext.0/act/Mul_1	['/text_encoder/convnext/convnext.0/act/Mul_output_0', '/text_encoder/convnext/convnext.0/act/Constant_2_output_0']	['/text_encoder/convnext/convnext.0/act/Mul_1_output_0']
35	Conv	/text_encoder/convnext/convnext.0/pwconv2/Conv	['/text_encoder/convnext/convnext.0/act/Mul_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.0.pwconv2.weight', 'tts.ttl.text_encoder.convnext.convnext.0.pwconv2.bias']	['/text_encoder/convnext/convnext.0/pwconv2/Conv_output_0']
36	Mul	/text_encoder/convnext/convnext.0/Mul_2	['tts.ttl.text_encoder.convnext.convnext.0.gamma', '/text_encoder/convnext/convnext.0/pwconv2/Conv_output_0']	['/text_encoder/convnext/convnext.0/Mul_2_output_0']
37	Add	/text_encoder/convnext/convnext.0/Add	['/text_encoder/convnext/convnext.0/Mul_output_0', '/text_encoder/convnext/convnext.0/Mul_2_output_0']	['/text_encoder/convnext/convnext.0/Add_output_0']
38	Mul	/text_encoder/convnext/convnext.0/Mul_3	['/text_encoder/convnext/convnext.0/Add_output_0', 'text_mask']	['/text_encoder/convnext/convnext.0/Mul_3_output_0']
39	Mul	/text_encoder/convnext/convnext.1/Mul	['/text_encoder/convnext/convnext.0/Mul_3_output_0', 'text_mask']	['/text_encoder/convnext/convnext.1/Mul_output_0']
40	Pad	/text_encoder/convnext/convnext.1/dwconv/Pad	['/text_encoder/convnext/convnext.1/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.1/dwconv/Pad_output_0']
41	Conv	/text_encoder/convnext/convnext.1/dwconv/Conv	['/text_encoder/convnext/convnext.1/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.1.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.1.dwconv.bias']	['/text_encoder/convnext/convnext.1/dwconv/Conv_output_0']
42	Mul	/text_encoder/convnext/convnext.1/Mul_1	['/text_encoder/convnext/convnext.1/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.1/Mul_1_output_0']
43	Transpose	/text_encoder/convnext/convnext.1/norm/Transpose	['/text_encoder/convnext/convnext.1/Mul_1_output_0']	['/text_encoder/convnext/convnext.1/norm/Transpose_output_0']
44	LayerNormalization	/text_encoder/convnext/convnext.1/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.1/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.1.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.1.norm.norm.bias']	['/text_encoder/convnext/convnext.1/norm/norm/LayerNormalization_output_0']
45	Transpose	/text_encoder/convnext/convnext.1/norm/Transpose_1	['/text_encoder/convnext/convnext.1/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.1/norm/Transpose_1_output_0']
46	Conv	/text_encoder/convnext/convnext.1/pwconv1/Conv	['/text_encoder/convnext/convnext.1/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.1.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.1.pwconv1.bias']	['/text_encoder/convnext/convnext.1/pwconv1/Conv_output_0']
47	Div	/text_encoder/convnext/convnext.1/act/Div	['/text_encoder/convnext/convnext.1/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.1/act/Div_output_0']
48	Erf	/text_encoder/convnext/convnext.1/act/Erf	['/text_encoder/convnext/convnext.1/act/Div_output_0']	['/text_encoder/convnext/convnext.1/act/Erf_output_0']
49	Add	/text_encoder/convnext/convnext.1/act/Add	['/text_encoder/convnext/convnext.1/act/Erf_output_0', '/text_encoder/convnext/convnext.0/act/Constant_1_output_0']	['/text_encoder/convnext/convnext.1/act/Add_output_0']
50	Mul	/text_encoder/convnext/convnext.1/act/Mul	['/text_encoder/convnext/convnext.1/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.1/act/Add_output_0']	['/text_encoder/convnext/convnext.1/act/Mul_output_0']
51	Mul	/text_encoder/convnext/convnext.1/act/Mul_1	['/text_encoder/convnext/convnext.1/act/Mul_output_0', '/text_encoder/convnext/convnext.0/act/Constant_2_output_0']	['/text_encoder/convnext/convnext.1/act/Mul_1_output_0']
52	Conv	/text_encoder/convnext/convnext.1/pwconv2/Conv	['/text_encoder/convnext/convnext.1/act/Mul_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.1.pwconv2.weight', 'tts.ttl.text_encoder.convnext.convnext.1.pwconv2.bias']	['/text_encoder/convnext/convnext.1/pwconv2/Conv_output_0']
53	Mul	/text_encoder/convnext/convnext.1/Mul_2	['tts.ttl.text_encoder.convnext.convnext.1.gamma', '/text_encoder/convnext/convnext.1/pwconv2/Conv_output_0']	['/text_encoder/convnext/convnext.1/Mul_2_output_0']
54	Add	/text_encoder/convnext/convnext.1/Add	['/text_encoder/convnext/convnext.1/Mul_output_0', '/text_encoder/convnext/convnext.1/Mul_2_output_0']	['/text_encoder/convnext/convnext.1/Add_output_0']
55	Mul	/text_encoder/convnext/convnext.1/Mul_3	['/text_encoder/convnext/convnext.1/Add_output_0', 'text_mask']	['/text_encoder/convnext/convnext.1/Mul_3_output_0']
56	Mul	/text_encoder/convnext/convnext.2/Mul	['/text_encoder/convnext/convnext.1/Mul_3_output_0', 'text_mask']	['/text_encoder/convnext/convnext.2/Mul_output_0']
57	Pad	/text_encoder/convnext/convnext.2/dwconv/Pad	['/text_encoder/convnext/convnext.2/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.2/dwconv/Pad_output_0']
58	Conv	/text_encoder/convnext/convnext.2/dwconv/Conv	['/text_encoder/convnext/convnext.2/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.2.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.2.dwconv.bias']	['/text_encoder/convnext/convnext.2/dwconv/Conv_output_0']
59	Mul	/text_encoder/convnext/convnext.2/Mul_1	['/text_encoder/convnext/convnext.2/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.2/Mul_1_output_0']
60	Transpose	/text_encoder/convnext/convnext.2/norm/Transpose	['/text_encoder/convnext/convnext.2/Mul_1_output_0']	['/text_encoder/convnext/convnext.2/norm/Transpose_output_0']
61	LayerNormalization	/text_encoder/convnext/convnext.2/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.2/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.2.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.2.norm.norm.bias']	['/text_encoder/convnext/convnext.2/norm/norm/LayerNormalization_output_0']
62	Transpose	/text_encoder/convnext/convnext.2/norm/Transpose_1	['/text_encoder/convnext/convnext.2/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.2/norm/Transpose_1_output_0']
63	Conv	/text_encoder/convnext/convnext.2/pwconv1/Conv	['/text_encoder/convnext/convnext.2/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.2.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.2.pwconv1.bias']	['/text_encoder/convnext/convnext.2/pwconv1/Conv_output_0']
64	Div	/text_encoder/convnext/convnext.2/act/Div	['/text_encoder/convnext/convnext.2/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.2/act/Div_output_0']
65	Erf	/text_encoder/convnext/convnext.2/act/Erf	['/text_encoder/convnext/convnext.2/act/Div_output_0']	['/text_encoder/convnext/convnext.2/act/Erf_output_0']
66	Add	/text_encoder/convnext/convnext.2/act/Add	['/text_encoder/convnext/convnext.2/act/Erf_output_0', '/text_encoder/convnext/convnext.0/act/Constant_1_output_0']	['/text_encoder/convnext/convnext.2/act/Add_output_0']
67	Mul	/text_encoder/convnext/convnext.2/act/Mul	['/text_encoder/convnext/convnext.2/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.2/act/Add_output_0']	['/text_encoder/convnext/convnext.2/act/Mul_output_0']
68	Mul	/text_encoder/convnext/convnext.2/act/Mul_1	['/text_encoder/convnext/convnext.2/act/Mul_output_0', '/text_encoder/convnext/convnext.0/act/Constant_2_output_0']	['/text_encoder/convnext/convnext.2/act/Mul_1_output_0']
69	Conv	/text_encoder/convnext/convnext.2/pwconv2/Conv	['/text_encoder/convnext/convnext.2/act/Mul_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.2.pwconv2.weight', 'tts.ttl.text_encoder.convnext.convnext.2.pwconv2.bias']	['/text_encoder/convnext/convnext.2/pwconv2/Conv_output_0']
70	Mul	/text_encoder/convnext/convnext.2/Mul_2	['tts.ttl.text_encoder.convnext.convnext.2.gamma', '/text_encoder/convnext/convnext.2/pwconv2/Conv_output_0']	['/text_encoder/convnext/convnext.2/Mul_2_output_0']
71	Add	/text_encoder/convnext/convnext.2/Add	['/text_encoder/convnext/convnext.2/Mul_output_0', '/text_encoder/convnext/convnext.2/Mul_2_output_0']	['/text_encoder/convnext/convnext.2/Add_output_0']
72	Mul	/text_encoder/convnext/convnext.2/Mul_3	['/text_encoder/convnext/convnext.2/Add_output_0', 'text_mask']	['/text_encoder/convnext/convnext.2/Mul_3_output_0']
73	Mul	/text_encoder/convnext/convnext.3/Mul	['/text_encoder/convnext/convnext.2/Mul_3_output_0', 'text_mask']	['/text_encoder/convnext/convnext.3/Mul_output_0']
74	Pad	/text_encoder/convnext/convnext.3/dwconv/Pad	['/text_encoder/convnext/convnext.3/Mul_output_0', '/text_encoder/convnext/convnext.0/dwconv/Cast_output_0']	['/text_encoder/convnext/convnext.3/dwconv/Pad_output_0']
75	Conv	/text_encoder/convnext/convnext.3/dwconv/Conv	['/text_encoder/convnext/convnext.3/dwconv/Pad_output_0', 'tts.ttl.text_encoder.convnext.convnext.3.dwconv.weight', 'tts.ttl.text_encoder.convnext.convnext.3.dwconv.bias']	['/text_encoder/convnext/convnext.3/dwconv/Conv_output_0']
76	Mul	/text_encoder/convnext/convnext.3/Mul_1	['/text_encoder/convnext/convnext.3/dwconv/Conv_output_0', 'text_mask']	['/text_encoder/convnext/convnext.3/Mul_1_output_0']
77	Transpose	/text_encoder/convnext/convnext.3/norm/Transpose	['/text_encoder/convnext/convnext.3/Mul_1_output_0']	['/text_encoder/convnext/convnext.3/norm/Transpose_output_0']
78	LayerNormalization	/text_encoder/convnext/convnext.3/norm/norm/LayerNormalization	['/text_encoder/convnext/convnext.3/norm/Transpose_output_0', 'tts.ttl.text_encoder.convnext.convnext.3.norm.norm.weight', 'tts.ttl.text_encoder.convnext.convnext.3.norm.norm.bias']	['/text_encoder/convnext/convnext.3/norm/norm/LayerNormalization_output_0']
79	Transpose	/text_encoder/convnext/convnext.3/norm/Transpose_1	['/text_encoder/convnext/convnext.3/norm/norm/LayerNormalization_output_0']	['/text_encoder/convnext/convnext.3/norm/Transpose_1_output_0']
80	Conv	/text_encoder/convnext/convnext.3/pwconv1/Conv	['/text_encoder/convnext/convnext.3/norm/Transpose_1_output_0', 'tts.ttl.text_encoder.convnext.convnext.3.pwconv1.weight', 'tts.ttl.text_encoder.convnext.convnext.3.pwconv1.bias']	['/text_encoder/convnext/convnext.3/pwconv1/Conv_output_0']
81	Div	/text_encoder/convnext/convnext.3/act/Div	['/text_encoder/convnext/convnext.3/pwconv1/Conv_output_0', '/text_encoder/convnext/convnext.0/act/Constant_output_0']	['/text_encoder/convnext/convnext.3/act/Div_output_0']
82	Erf	/text_encoder/convnext/convnext.3/act/Erf	['/text_encoder/convnext/convnext.3/act/Div_output_0']	['/text_encoder/convnext/convnext.3/act/Erf_output_0']
83	Add	/text_encoder/convnext/convnext.3/act/Add	['/text_encoder/convnext/convnext.3/act/Erf_output_0', '/text_encoder/convnext/convnext.0/act/Constant_1_output_0']	['/text_encoder/convnext/convnext.3/act/Add_output_0']
