name	shape	dtype	nbytes	numel
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_k.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_k.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_v.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_v.bias	[256]	float32	1024	256
/text_encoder/attn_encoder/attn_layers.0/Constant_output_0	[]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_2_output_0	[]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_11_output_0	[]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_4_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_5_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Unsqueeze_43_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_16_output_0	[]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_10_output_0	[]	float32	4	1
/text_encoder/attn_encoder/attn_layers.0/Constant_35_output_0	[2]	int64	16	2
/text_encoder/attn_encoder/attn_layers.0/Constant_38_output_0	[1]	int64	8	1
tts.ttl.text_encoder.attn_encoder.attn_layers.0.emb_rel_k	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.0.emb_rel_v	[1, 9, 64]	float32	2304	576
/text_encoder/attn_encoder/attn_layers.0/Constant_41_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Cast_2_output_0	[8]	int64	64	8
/text_encoder/attn_encoder/attn_layers.0/Constant_85_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_83_output_0	[1]	int64	8	1
/text_encoder/attn_encoder/attn_layers.0/Constant_88_output_0	[]	float32	4	1
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_o.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.0.conv_o.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.0.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.0.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.ffn_layers.0.conv_1.weight	[1024, 256, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.0.conv_1.bias	[1024]	float32	4096	1024
tts.ttl.text_encoder.attn_encoder.ffn_layers.0.conv_2.weight	[256, 1024, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.0.conv_2.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.0.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.0.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_q.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_q.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_k.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_k.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_v.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_v.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.1.emb_rel_k	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.1.emb_rel_v	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_o.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.1.conv_o.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.1.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.1.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.ffn_layers.1.conv_1.weight	[1024, 256, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.1.conv_1.bias	[1024]	float32	4096	1024
tts.ttl.text_encoder.attn_encoder.ffn_layers.1.conv_2.weight	[256, 1024, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.1.conv_2.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.1.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.1.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_q.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_q.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_k.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_k.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_v.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_v.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.2.emb_rel_k	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.2.emb_rel_v	[1, 9, 64]	float32	2304	576
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_o.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.2.conv_o.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.2.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_1.2.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.ffn_layers.2.conv_1.weight	[1024, 256, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.2.conv_1.bias	[1024]	float32	4096	1024
tts.ttl.text_encoder.attn_encoder.ffn_layers.2.conv_2.weight	[256, 1024, 1]	float32	1048576	262144
tts.ttl.text_encoder.attn_encoder.ffn_layers.2.conv_2.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.2.norm.weight	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.norm_layers_2.2.norm.bias	[256]	float32	1024	256
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_q.weight	[256, 256, 1]	float32	262144	65536
tts.ttl.text_encoder.attn_encoder.attn_layers.3.conv_q.bias	[256]	float32	1024	256
