idx	op_type	name	inputs	outputs
39	Div	/decoder/convnext.1/act/Div	['/decoder/convnext.1/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.1/act/Div_output_0']
40	Erf	/decoder/convnext.1/act/Erf	['/decoder/convnext.1/act/Div_output_0']	['/decoder/convnext.1/act/Erf_output_0']
41	Add	/decoder/convnext.1/act/Add	['/decoder/convnext.1/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.1/act/Add_output_0']
42	Mul	/decoder/convnext.1/act/Mul	['/decoder/convnext.1/pwconv1/Conv_output_0', '/decoder/convnext.1/act/Add_output_0']	['/decoder/convnext.1/act/Mul_output_0']
43	Mul	/decoder/convnext.1/act/Mul_1	['/decoder/convnext.1/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.1/act/Mul_1_output_0']
44	Conv	/decoder/convnext.1/pwconv2/Conv	['/decoder/convnext.1/act/Mul_1_output_0', 'tts.ae.decoder.convnext.1.pwconv2.weight', 'tts.ae.decoder.convnext.1.pwconv2.bias']	['/decoder/convnext.1/pwconv2/Conv_output_0']
45	Mul	/decoder/convnext.1/Mul	['tts.ae.decoder.convnext.1.gamma', '/decoder/convnext.1/pwconv2/Conv_output_0']	['/decoder/convnext.1/Mul_output_0']
46	Add	/decoder/convnext.1/Add	['/decoder/convnext.0/Add_output_0', '/decoder/convnext.1/Mul_output_0']	['/decoder/convnext.1/Add_output_0']
47	Pad	/decoder/convnext.2/dwconv/Pad	['/decoder/convnext.1/Add_output_0', '/decoder/convnext.2/dwconv/Cast_output_0']	['/decoder/convnext.2/dwconv/Pad_output_0']
48	Conv	/decoder/convnext.2/dwconv/net/Conv	['/decoder/convnext.2/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.2.dwconv.net.weight', 'tts.ae.decoder.convnext.2.dwconv.net.bias']	['/decoder/convnext.2/dwconv/net/Conv_output_0']
49	Transpose	/decoder/convnext.2/norm/Transpose	['/decoder/convnext.2/dwconv/net/Conv_output_0']	['/decoder/convnext.2/norm/Transpose_output_0']
50	LayerNormalization	/decoder/convnext.2/norm/norm/LayerNormalization	['/decoder/convnext.2/norm/Transpose_output_0', 'tts.ae.decoder.convnext.2.norm.norm.weight', 'tts.ae.decoder.convnext.2.norm.norm.bias']	['/decoder/convnext.2/norm/norm/LayerNormalization_output_0']
51	Transpose	/decoder/convnext.2/norm/Transpose_1	['/decoder/convnext.2/norm/norm/LayerNormalization_output_0']	['/decoder/convnext.2/norm/Transpose_1_output_0']
52	Conv	/decoder/convnext.2/pwconv1/Conv	['/decoder/convnext.2/norm/Transpose_1_output_0', 'tts.ae.decoder.convnext.2.pwconv1.weight', 'tts.ae.decoder.convnext.2.pwconv1.bias']	['/decoder/convnext.2/pwconv1/Conv_output_0']
53	Div	/decoder/convnext.2/act/Div	['/decoder/convnext.2/pwconv1/Conv_output_0', '/decoder/convnext.0/act/Constant_output_0']	['/decoder/convnext.2/act/Div_output_0']
54	Erf	/decoder/convnext.2/act/Erf	['/decoder/convnext.2/act/Div_output_0']	['/decoder/convnext.2/act/Erf_output_0']
55	Add	/decoder/convnext.2/act/Add	['/decoder/convnext.2/act/Erf_output_0', '/decoder/convnext.0/act/Constant_1_output_0']	['/decoder/convnext.2/act/Add_output_0']
56	Mul	/decoder/convnext.2/act/Mul	['/decoder/convnext.2/pwconv1/Conv_output_0', '/decoder/convnext.2/act/Add_output_0']	['/decoder/convnext.2/act/Mul_output_0']
57	Mul	/decoder/convnext.2/act/Mul_1	['/decoder/convnext.2/act/Mul_output_0', '/decoder/convnext.0/act/Constant_2_output_0']	['/decoder/convnext.2/act/Mul_1_output_0']
58	Conv	/decoder/convnext.2/pwconv2/Conv	['/decoder/convnext.2/act/Mul_1_output_0', 'tts.ae.decoder.convnext.2.pwconv2.weight', 'tts.ae.decoder.convnext.2.pwconv2.bias']	['/decoder/convnext.2/pwconv2/Conv_output_0']
59	Mul	/decoder/convnext.2/Mul	['tts.ae.decoder.convnext.2.gamma', '/decoder/convnext.2/pwconv2/Conv_output_0']	['/decoder/convnext.2/Mul_output_0']
60	Add	/decoder/convnext.2/Add	['/decoder/convnext.1/Add_output_0', '/decoder/convnext.2/Mul_output_0']	['/decoder/convnext.2/Add_output_0']
61	Pad	/decoder/convnext.3/dwconv/Pad	['/decoder/convnext.2/Add_output_0', '/decoder/embed/Cast_output_0']	['/decoder/convnext.3/dwconv/Pad_output_0']
62	Conv	/decoder/convnext.3/dwconv/net/Conv	['/decoder/convnext.3/dwconv/Pad_output_0', 'tts.ae.decoder.convnext.3.dwconv.net.weight', 'tts.ae.decoder.convnext.3.dwconv.net.bias']	['/decoder/convnext.3/dwconv/net/Conv_output_0']
63	Transpose	/decoder/convnext.3/norm/Transpose	['/decoder/convnext.3/dwconv/net/Conv_output_0']	['/decoder/convnext.3/norm/Transpose_output_0']
