name	shape	dtype	nbytes	numel
tts.ttl.vector_field.main_blocks.18.convnext.3.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.18.convnext.3.gamma	[1, 512, 1]	float32	2048	512
tts.ttl.vector_field.main_blocks.20.convnext.0.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.main_blocks.20.convnext.0.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.20.convnext.0.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.20.convnext.0.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.20.convnext.0.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.main_blocks.20.convnext.0.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.main_blocks.20.convnext.0.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.main_blocks.20.convnext.0.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.20.convnext.0.gamma	[1, 512, 1]	float32	2048	512
onnx::MatMul_3236	[512, 256]	float32	524288	131072
tts.ttl.vector_field.main_blocks.21.attn.W_query.linear.bias	[256]	float32	1024	256
onnx::MatMul_3245	[256, 512]	float32	524288	131072
tts.ttl.vector_field.main_blocks.21.attn.out_fc.linear.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.21.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.21.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.22.convnext.0.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.main_blocks.22.convnext.0.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.22.convnext.0.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.22.convnext.0.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.22.convnext.0.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.main_blocks.22.convnext.0.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.main_blocks.22.convnext.0.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.main_blocks.22.convnext.0.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.22.convnext.0.gamma	[1, 512, 1]	float32	2048	512
onnx::MatMul_3251	[512, 256]	float32	524288	131072
tts.ttl.vector_field.main_blocks.23.attention.W_query.linear.bias	[256]	float32	1024	256
onnx::MatMul_3254	[256, 512]	float32	524288	131072
tts.ttl.vector_field.main_blocks.23.attention.out_fc.linear.bias	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.23.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.main_blocks.23.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.0.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.last_convnext.convnext.0.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.0.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.0.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.0.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.0.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.last_convnext.convnext.0.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.0.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.0.gamma	[1, 512, 1]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.1.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.last_convnext.convnext.1.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.1.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.1.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.1.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.1.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.last_convnext.convnext.1.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.1.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.1.gamma	[1, 512, 1]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.2.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.last_convnext.convnext.2.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.2.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.2.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.2.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.2.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.last_convnext.convnext.2.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.2.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.2.gamma	[1, 512, 1]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.3.dwconv.weight	[512, 1, 5]	float32	10240	2560
tts.ttl.vector_field.last_convnext.convnext.3.dwconv.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.3.norm.norm.weight	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.3.norm.norm.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.3.pwconv1.weight	[1024, 512, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.3.pwconv1.bias	[1024]	float32	4096	1024
tts.ttl.vector_field.last_convnext.convnext.3.pwconv2.weight	[512, 1024, 1]	float32	2097152	524288
tts.ttl.vector_field.last_convnext.convnext.3.pwconv2.bias	[512]	float32	2048	512
tts.ttl.vector_field.last_convnext.convnext.3.gamma	[1, 512, 1]	float32	2048	512
tts.ttl.vector_field.proj_out.net.weight	[144, 512, 1]	float32	294912	73728
