idx	op_type	name	inputs	outputs
34	Mul	/vector_field/main_blocks.0/convnext.0/Mul	['/vector_field/proj_in/Mul_output_0', 'latent_mask']	['/vector_field/main_blocks.0/convnext.0/Mul_output_0']
35	Add	/vector_field/main_blocks.3/attn/W_key/linear/Add	['tts.ttl.vector_field.main_blocks.3.attn.W_key.linear.bias', '/vector_field/main_blocks.3/attn/W_key/linear/MatMul_output_0']	['/vector_field/main_blocks.3/attn/W_key/linear/Add_output_0']
36	Add	/vector_field/main_blocks.3/attn/W_value/linear/Add	['tts.ttl.vector_field.main_blocks.3.attn.W_value.linear.bias', '/vector_field/main_blocks.3/attn/W_value/linear/MatMul_output_0']	['/vector_field/main_blocks.3/attn/W_value/linear/Add_output_0']
37	Gather	/vector_field/main_blocks.3/attn/Gather	['/vector_field/main_blocks.3/attn/Shape_output_0', '/vector_field/main_blocks.3/attn/Constant_15_output_0']	['/vector_field/main_blocks.3/attn/Gather_output_0']
38	Gather	/vector_field/main_blocks.3/attn/Gather_1	['/vector_field/main_blocks.3/attn/Shape_1_output_0', '/vector_field/main_blocks.3/attn/Constant_15_output_0']	['/vector_field/main_blocks.3/attn/Gather_1_output_0']
39	Reshape	/vector_field/main_blocks.3/attn/Reshape	['/vector_field/main_blocks.3/attn/ReduceSum_output_0', '/Constant_output_0']	['/vector_field/main_blocks.3/attn/Reshape_output_0']
40	Reshape	/vector_field/main_blocks.3/attn/Reshape_1	['/vector_field/main_blocks.3/attn/ReduceSum_1_output_0', '/Constant_output_0']	['/vector_field/main_blocks.3/attn/Reshape_1_output_0']
41	Transpose	/vector_field/main_blocks.3/attn/Transpose_1	['/vector_field/main_blocks.3/attn/Unsqueeze_14_output_0']	['/vector_field/main_blocks.3/attn/Transpose_1_output_0']
42	Equal	/vector_field/main_blocks.3/attn/Equal_1	['/vector_field/main_blocks.3/attn/Unsqueeze_15_output_0', '/vector_field/main_blocks.3/attn/Constant_44_output_0']	['/vector_field/main_blocks.23/attention/Cast_output_0']
43	Split	/vector_field/main_blocks.5/attention/Split_2	['/vector_field/main_blocks.5/attention/W_value/linear/Add_output_0', '/vector_field/main_blocks.5/attention/Constant_6_output_0']	['/vector_field/main_blocks.5/attention/Split_2_output_0', '/vector_field/main_blocks.5/attention/Split_2_output_1']
44	Add	/vector_field/main_blocks.9/attn/W_key/linear/Add	['tts.ttl.vector_field.main_blocks.9.attn.W_key.linear.bias', '/vector_field/main_blocks.9/attn/W_key/linear/MatMul_output_0']	['/vector_field/main_blocks.9/attn/W_key/linear/Add_output_0']
45	Add	/vector_field/main_blocks.9/attn/W_value/linear/Add	['tts.ttl.vector_field.main_blocks.9.attn.W_value.linear.bias', '/vector_field/main_blocks.9/attn/W_value/linear/MatMul_output_0']	['/vector_field/main_blocks.9/attn/W_value/linear/Add_output_0']
46	Split	/vector_field/main_blocks.11/attention/Split_2	['/vector_field/main_blocks.11/attention/W_value/linear/Add_output_0', '/vector_field/main_blocks.5/attention/Constant_6_output_0']	['/vector_field/main_blocks.11/attention/Split_2_output_0', '/vector_field/main_blocks.11/attention/Split_2_output_1']
47	Add	/vector_field/main_blocks.15/attn/W_key/linear/Add	['tts.ttl.vector_field.main_blocks.15.attn.W_key.linear.bias', '/vector_field/main_blocks.15/attn/W_key/linear/MatMul_output_0']	['/vector_field/main_blocks.15/attn/W_key/linear/Add_output_0']
